,eng_name,locale_code,name,using_countries
179,Sichuan Yi,ii,ꆈꌠꉙ,[CN]
180,English,en,English,[MU]
181,Serbian (Latin),sr_Latn,srpski (latinica),[RS]
182,Azerbaijani (Cyrillic),az_Cyrl,азәрбајҹан дили (Кирил),[AZ]
183,English,en,English,[BM]
184,Portuguese,pt,português,[LU]
185,English,en,English,[BZ]
186,Spanish,es,español,[VE]
187,Arabic,ar,العربية,[QA]
188,French,fr,français,[MG]
189,Spanish,es,español,"[MX, CR]"
190,French,fr,français,[TD]
191,Tamil,ta,தமிழ்,[IN]
192,Arabic,ar,العربية,"[ER, IQ]"
193,French,fr,français,"[YT, MF, MQ, LU, BI]"
194,Arabic,ar,العربية,[PS]
195,French,fr,français,[CM]
196,Basque,eu,euskara,[ES]
197,English,en,English,"[CH, MT]"
198,Indonesian,id,Indonesia,[ID]
199,English,en,English,"[VI, TV]"
200,Maltese,mt,Malti,[MT]
201,English,en,English,"[TT, UG, TC]"
202,Fulah,ff,Pulaar,[MR]
203,Kalaallisut,kl,kalaallisut,[GL]
204,English,en,English,"[LR, NZ]"
205,Macedonian,mk,македонски,[MK]
206,English,en,English,[AU]
207,Slovak,sk,slovenčina,[SK]
208,Quechua,qu,Runasimi,[EC]
209,Manx,gv,Gaelg,[IM]
210,German,de,Deutsch,[LI]
211,Arabic,ar,العربية,[EG]
212,French,fr,français,[TG]
213,Dutch,nl,Nederlands,[SR]
214,Arabic,ar,العربية,[KM]
215,Greek,el,Ελληνικά,[CY]
216,French,fr,français,[MR]
217,Serbian (Cyrillic),sr_Cyrl,српски (ћирилица),[ME]
218,French,fr,français,[BJ]
219,English,en,English,"[CK, AT, LS]"
220,Lithuanian,lt,lietuvių,[LT]
221,English,en,English,"[MW, NL]"
222,Kashmiri,ks,کٲشُر,[IN]
223,Uyghur,ug,ئۇيغۇرچە,[CN]
224,English,en,English,"[ZM, MS, AG, CX]"
225,Arabic,ar,العربية,[SO]
226,French,fr,français,[MA]
227,Tamil,ta,தமிழ்,[SG]
228,Spanish,es,español,[CU]
229,Chechen,ce,нохчийн,[RU]
230,Spanish,es,español,[UY]
231,Marathi,mr,मराठी,[IN]
232,Arabic,ar,العربية,[SY]
233,Tibetan,bo,བོད་སྐད་,[CN]
234,Uzbek (Latin),uz_Latn,o‘zbek (lotin),[UZ]
235,English,en,English,[CY]
236,Malay,ms,Bahasa Melayu,[MY]
237,Chinese (Simplified),zh_Hans,中文 (简体),[CN]
238,Luxembourgish,lb,Lëtzebuergesch,[LU]
239,English,en,English,[LC]
240,Portuguese,pt,português,[CH]
241,English,en,English,[MG]
242,Croatian,hr,hrvatski,[HR]
243,English,en,English,"[MP, AS]"
244,Finnish,fi,suomi,[FI]
245,French,fr,français,[CI]
246,Latvian,lv,latviešu,[LV]
247,Kikuyu,ki,Gikuyu,[KE]
248,Danish,da,dansk,[GL]
249,French,fr,français,[MU]
250,Catalan,ca,català,[AD]
251,Zulu,zu,isiZulu,[ZA]
252,Spanish,es,español,[BR]
253,Northern Sami,se,davvisámegiella,[FI]
254,German,de,Deutsch,[BE]
255,Swahili,sw,Kiswahili,[CD]
256,Quechua,qu,Runasimi,[PE]
257,Arabic,ar,العربية,[JO]
258,Ukrainian,uk,українська,[UA]
259,French,fr,français,"[MC, BL, CH]"
260,Swahili,sw,Kiswahili,[TZ]
261,English,en,English,"[BI, CM]"
262,Chinese (Traditional),zh_Hant,中文 (繁體),[MO]
263,Serbian (Latin),sr_Latn,srpski (latinica),[ME]
264,English,en,English,"[PK, SG]"
265,Sango,sg,Sängö,[CF]
266,Church Slavic,cu,церковнослове́нскїй,[RU]
267,Portuguese,pt,português,[ST]
268,Afrikaans,af,Afrikaans,[NA]
269,English,en,English,[JE]
270,Portuguese,pt,português,[GQ]
271,Chinese (Simplified),zh_Hans,中文 (简体),[SG]
272,English,en,English,"[GU, GB]"
273,Italian,it,italiano,[IT]
274,Arabic,ar,العربية,[TN]
275,French,fr,français,[GP]
276,Somali,so,Soomaali,[SO]
277,Italian,it,italiano,[SM]
278,French,fr,français,[SC]
279,Yoruba,yo,Èdè Yorùbá,[NG]
280,Luba-Katanga,lu,Tshiluba,[CD]
281,Belarusian,be,беларуская,[BY]
282,Somali,so,Soomaali,[ET]
